agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone
000259,TTM-tmpf (Centre Touristique Moléson),http://www.sbb.ch,Europe/Berlin,,
000258,FLC (Funiculaire St-Luc-Chandolin),http://www.sbb.ch,Europe/Berlin,,
000257,BBWAG (Bergbahnen Wildhaus AG),http://www.sbb.ch,Europe/Berlin,,
000256,LSMS-lsm (Stechelberg-Mürren-Schilthorn (lsms)),http://www.sbb.ch,Europe/Berlin,,
000255,LJK (Jakobsbad-Kronberg),http://www.sbb.ch,Europe/Berlin,,
000254,LDW (Dallenwil-Wirzweli),http://www.sbb.ch,Europe/Berlin,,
000253,HKDS (Hoher Kasten Drehrestaurant und Seilbahn AG),http://www.sbb.ch,Europe/Berlin,,
000252,LHB (Lenzerheide Bergbahnen),http://www.sbb.ch,Europe/Berlin,,
000251,AGS (Andermatt Gotthard Sportbahnen),http://www.sbb.ch,Europe/Berlin,,
000250,LDN (Dallenwil-Niederrickenbach),http://www.sbb.ch,Europe/Berlin,,
003128,SKR (Sesselbahn Krümmenschwil-Rietbach),http://www.sbb.ch,Europe/Berlin,,
003129,SWG (Sesselbahn Wildhaus-Gamplüt),http://www.sbb.ch,Europe/Berlin,,
000288,PBF-stp (Prodkammbahnen Flumserberg AG),http://www.sbb.ch,Europe/Berlin,,
000286,CIT (Cardada Impianti Turistici),http://www.sbb.ch,Europe/Berlin,,
003123,FSCR (Funiva San Carlo-Robiei),http://www.sbb.ch,Europe/Berlin,,
000280,LSG (Stalden-Gspon),http://www.sbb.ch,Europe/Berlin,,
003125,FML (Funiva Miglieglia-Monte Lema),http://www.sbb.ch,Europe/Berlin,,
000329,BBD (Bergbahnen Disentis),http://www.sbb.ch,Europe/Berlin,,
000283,LSBR (Sörenberg-Brienzer Rothorn),http://www.sbb.ch,Europe/Berlin,,
003054,SGES (Seilbahngenossenschaft Embd-Schalb),http://www.sbb.ch,Europe/Berlin,,
003050,SBU (Sportbahnen Unterbäch AG),http://www.sbb.ch,Europe/Berlin,,
