trip_id,start_time,end_time,headway_secs
110,08:45:00,16:00:00,900
113,08:45:00,16:00:00,900
114,16:30:00,17:00:00,900
116,08:45:00,16:15:00,900
118,08:45:00,16:15:00,900
10832,08:00:00,08:15:00,60
10833,08:15:00,16:30:00,60
10834,18:30:00,21:30:00,60
10835,08:00:00,08:15:00,60
10836,08:15:00,16:30:00,60
10837,18:30:00,21:30:00,60
10838,08:30:00,12:00:00,60
10839,13:30:00,17:00:00,60
10840,08:30:00,12:00:00,60
10841,13:30:00,17:00:00,60
10842,08:30:00,12:00:00,60
10843,13:30:00,17:00:00,60
10844,08:30:00,12:00:00,60
10845,13:30:00,17:00:00,60
10856,08:13:00,16:00:00,60
10857,16:00:00,16:20:00,60
10858,08:13:00,16:00:00,60
10859,16:00:00,16:20:00,60
10861,08:43:00,16:43:00,1800
10862,08:43:00,16:43:00,1800
10864:1,08:30:00,17:00:00,60
10864:2,08:30:00,17:00:00,60
10869:1,08:30:00,17:00:00,60
10869:2,08:30:00,17:00:00,60
10870,08:50:00,16:00:00,60
10871,09:10:00,16:50:00,60
10872,09:00:00,12:00:00,60
10873,09:00:00,12:00:00,60
10874,13:00:00,16:30:00,60
10875,13:00:00,16:45:00,60
10876,09:30:00,12:00:00,60
10877,09:15:00,12:00:00,60
10878,13:00:00,16:15:00,60
10879,13:00:00,16:30:00,60
11794,08:30:00,16:00:00,60
11795,09:00:00,16:45:00,60
11796,08:30:00,17:00:00,60
11797,09:00:00,17:45:00,60
11798,09:00:00,16:30:00,900
11799,09:00:00,16:30:00,900
11800,09:00:00,17:30:00,900
11801,09:00:00,17:30:00,900
11873,08:10:00,19:10:00,1800
11878,08:40:00,19:10:00,1800
19977,07:50:00,13:00:00,600
19978,13:00:00,16:30:00,900
19981,08:00:00,13:00:00,600
19982,13:00:00,17:00:00,900
19985,08:30:00,17:00:00,1800
19987,08:45:00,17:15:00,1800
90916,08:30:00,16:30:00,60
90917,08:30:00,17:00:00,60
90918,08:00:00,18:00:00,60
90919,08:00:00,18:30:00,60
90920,08:00:00,16:15:00,60
90921,08:00:00,16:45:00,60
90922,08:00:00,15:45:00,60
90923,08:00:00,16:15:00,60
90924,08:30:00,15:45:00,60
90925,08:30:00,16:15:00,60
90926,08:30:00,17:00:00,60
90927,08:30:00,17:30:00,60
90928,10:00:00,16:30:00,60
90929,10:00:00,17:00:00,60
90930,08:30:00,16:30:00,60
90931,08:30:00,16:30:00,60
90932,08:30:00,16:45:00,60
90933,08:30:00,16:45:00,60
90934,08:30:00,17:30:00,60
90935,08:30:00,17:30:00,60
90936,08:30:00,17:45:00,60
90937,08:30:00,17:45:00,60
90938,08:30:00,16:30:00,60
90939,08:30:00,16:30:00,60
90940,08:20:00,17:00:00,1200
90942,08:00:00,18:00:00,1200
90943,08:20:00,17:00:00,1200
90944,08:20:00,17:00:00,1200
90945,08:20:00,17:00:00,1200
90947,08:00:00,18:00:00,1200
90948,08:20:00,17:00:00,1200
90949,08:20:00,17:00:00,1200
90950,08:05:00,18:05:00,1200
90951,08:05:00,18:05:00,1200
90954,08:05:00,17:45:00,1200
90955,08:05:00,17:45:00,1200
90959,08:15:00,12:00:00,60
90960,08:15:00,12:00:00,60
90961,13:00:00,17:30:00,60
90962,13:00:00,17:30:00,60
90963,08:30:00,12:00:00,60
90964,08:30:00,12:00:00,60
90965,13:00:00,17:30:00,60
90966,13:00:00,17:30:00,60
90967,08:30:00,17:30:00,60
90968,08:30:00,17:30:00,60
90969,09:00:00,16:00:00,60
90970,09:00:00,16:50:00,60
90971,08:50:00,16:20:00,1800
90972,09:05:00,16:35:00,1800
90973,08:22:00,16:07:00,900
90974,08:15:00,16:00:00,900
90975,08:30:00,16:45:00,900
90976,08:22:00,16:37:00,900
90977,08:22:00,16:22:00,900
90978,08:15:00,16:15:00,900
90979,08:30:00,17:15:00,900
90980,08:22:00,17:07:00,900
90981,08:15:00,16:00:00,900
90982,08:15:00,16:00:00,900
90984,08:00:00,16:30:00,900
90985,08:00:00,16:30:00,900
90987,08:23:00,16:08:00,900
90988,08:23:00,16:08:00,900
90990,08:08:00,16:38:00,900
90991,08:08:00,16:38:00,900
91121,09:00:00,16:30:00,60
91122,09:00:00,16:30:00,60
91123,08:30:00,16:30:00,60
91124,08:30:00,16:30:00,60
91125,09:00:00,16:30:00,60
91126,09:00:00,16:30:00,60
91127,09:00:00,12:30:00,60
91128,09:00:00,12:30:00,60
91129,13:30:00,16:00:00,60
91130,13:30:00,16:00:00,60
91211,08:00:00,20:00:00,900
91212,08:00:00,20:00:00,900
91213,08:00:00,09:00:00,900
91214,08:00:00,09:00:00,900
91215,11:45:00,13:30:00,900
91216,11:45:00,13:30:00,900
91217,16:45:00,20:00:00,900
91218,16:45:00,20:00:00,900
91230,08:30:00,16:30:00,1800
91232,08:30:00,16:30:00,1800
91234,07:30:00,17:30:00,1800
91236,07:30:00,17:30:00,1800
91239,07:30:00,17:45:00,60
91240,07:30:00,17:45:00,60
91241,07:30:00,17:45:00,60
91242,07:30:00,17:45:00,60
91243,07:30:00,11:45:00,60
91244,07:30:00,11:45:00,60
91245,13:00:00,17:45:00,60
91246,13:00:00,17:45:00,60
91247,07:30:00,11:45:00,60
91248,07:30:00,11:45:00,60
91249,13:00:00,17:45:00,60
91250,13:00:00,17:45:00,60
91256,17:30:00,17:45:00,60
91263,09:30:00,17:00:00,900
91265,09:30:00,17:00:00,900
91267,08:00:00,17:30:00,900
91269,08:00:00,17:30:00,900
91271,07:30:00,18:00:00,900
91272,07:30:00,18:00:00,900
91273,07:30:00,19:00:00,900
91274,07:30:00,19:00:00,900
91275,08:30:00,16:15:00,900
91276,08:30:00,16:30:00,900
91277,08:15:00,16:45:00,900
91278,08:15:00,17:00:00,900
91279,08:30:00,16:50:00,1200
91280,08:30:00,17:10:00,1200
91281,08:30:00,16:50:00,1200
91282,08:30:00,17:10:00,1200
91283,08:10:00,17:10:00,1200
91284,08:10:00,17:30:00,1200
91285,08:30:00,17:10:00,1200
91286,08:30:00,17:30:00,1200
91287,09:00:00,17:00:00,60
91288,09:00:00,17:00:00,60
91314,08:30:00,17:00:00,1800
91315,08:30:00,17:30:00,1800
91316,08:00:00,08:30:00,900
91317,08:30:00,16:30:00,900
91318,08:00:00,16:00:00,900
91319,08:30:00,16:30:00,900
91320,16:30:00,17:00:00,900
91321,16:30:00,17:00:00,900
91322,08:30:00,17:00:00,1800
91323,08:30:00,17:00:00,1800
91326,07:45:00,16:30:00,900
91327,08:20:00,16:20:00,1200
91328,08:30:00,16:30:00,1200
91329,08:50:00,16:50:00,1200
91330,09:00:00,17:00:00,1200
91331,09:00:00,17:00:00,1200
91332,09:10:00,17:10:00,1200
91333,09:10:00,17:30:00,1200
91334,09:00:00,17:40:00,1200
91335,08:45:00,16:00:00,60
