route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
00201.000109:201,000109,201,LB 201,,6,,,
00205.000109:205,000109,205,LB 205,,6,,,
00215.000109:215,000109,215,LB 215,,6,,,
00251.000109:251,000109,251,LB 251,,6,,,
00255.000109:255,000109,255,LB 255,,6,,,
00265.000109:265,000109,265,LB 265,,6,,,
00301.000109:301,000109,301,LB 301,,6,,,
00305.000109:305,000109,305,LB 305,,6,,,
00351.000109:351,000109,351,LB 351,,6,,,
00355.000109:355,000109,355,LB 355,,6,,,
00001.000113:1,000113,1,GB 1,,6,,,
00005.000113:5,000113,5,GB 5,,6,,,
00006.000113:6,000113,6,GB 6,,6,,,
00051.000113:51,000113,51,GB 51,,6,,,
00055.000113:55,000113,55,GB 55,,6,,,
00056.000113:56,000113,56,GB 56,,6,,,
00105.000113:105,000113,105,GB 105,,6,,,
00110.000113:110,000113,110,GB 110,,6,,,
00155.000113:155,000113,155,GB 155,,6,,,
00160.000113:160,000113,160,GB 160,,6,,,
00205.000113:205,000113,205,GB 205,,6,,,
00210.000113:210,000113,210,GB 210,,6,,,
00255.000113:255,000113,255,GB 255,,6,,,
00260.000113:260,000113,260,GB 260,,6,,,
00605.000113:605,000113,605,LB 605,,6,,,
00607.000113:607,000113,607,LB 607,,6,,,
00655.000113:655,000113,655,LB 655,,6,,,
00657.000113:657,000113,657,LB 657,,6,,,
00660.000113:660,000113,660,LB 660,,6,,,
00805.000113:805,000113,805,LB 805,,6,,,
00855.000113:855,000113,855,LB 855,,6,,,
00860.000113:860,000113,860,LB 860,,6,,,
00001.000114:1,000114,1,GB 1,,6,,,
01001.000114:1001,000114,1001,GB 1001,,6,,,
03001.000114:3001,000114,3001,LB 3001,,6,,,
04001.000114:4001,000114,4001,LB 4001,,6,,,
10001.000114:10001,000114,10001,SL 10001,,6,,,
11001.000114:11001,000114,11001,SL 11001,,6,,,
12001.000114:12001,000114,12001,SL 12001,,6,,,
13001.000114:13001,000114,13001,SL 13001,,6,,,
20001.000114:20001,000114,20001,SL 20001,,6,,,
21001.000114:21001,000114,21001,SL 21001,,6,,,
22001.000114:22001,000114,22001,SL 22001,,6,,,
23001.000114:23001,000114,23001,SL 23001,,6,,,
00001.013600:1,013600,1,GB 1,,6,,,
00002.013600:2,013600,2,GB 2,,6,,,
00003.013600:3,013600,3,GB 3,,6,,,
00004.013600:4,013600,4,GB 4,,6,,,
01001.013600:1001,013600,1001,LB 1001,,6,,,
02001.013600:2001,013600,2001,LB 2001,,6,,,
03001.013600:3001,013600,3001,LB 3001,,6,,,
04001.013600:4001,013600,4001,LB 4001,,6,,,
00001.013700:1,013700,1,LB 1,,6,,,
00002.013700:2,013700,2,LB 2,,6,,,
00003.013700:3,013700,3,LB 3,,6,,,
00004.013700:4,013700,4,LB 4,,6,,,
00005.013700:5,013700,5,LB 5,,6,,,
00006.013700:6,013700,6,LB 6,,6,,,
00007.013700:7,013700,7,LB 7,,6,,,
00008.013700:8,013700,8,LB 8,,6,,,
00014.013700:14,013700,14,LB 14,,6,,,
00001.000147:1,000147,1,LB 1,,6,,,
00005.000147:5,000147,5,LB 5,,6,,,
00011.000147:11,000147,11,LB 11,,6,,,
00015.000147:15,000147,15,LB 15,,6,,,
00051.000147:51,000147,51,LB 51,,6,,,
00055.000147:55,000147,55,LB 55,,6,,,
00061.000147:61,000147,61,LB 61,,6,,,
00065.000147:65,000147,65,LB 65,,6,,,
00201.000147:201,000147,201,LB 201,,6,,,
00251.000147:251,000147,251,LB 251,,6,,,
00001.000201:1,000201,1,GB 1,,6,,,
00002.000201:2,000201,2,GB 2,,6,,,
00101.000201:101,000201,101,GB 101,,6,,,
00102.000201:102,000201,102,GB 102,,6,,,
00301.000201:301,000201,301,GB 301,,6,,,
00302.000201:302,000201,302,GB 302,,6,,,
00401.000201:401,000201,401,GB 401,,6,,,
00402.000201:402,000201,402,GB 402,,6,,,
00501.000201:501,000201,501,GB 501,,6,,,
00502.000201:502,000201,502,GB 502,,6,,,
00601.000201:601,000201,601,GB 601,,6,,,
00602.000201:602,000201,602,GB 602,,6,,,
00701.000201:701,000201,701,GB 701,,6,,,
00702.000201:702,000201,702,GB 702,,6,,,
00001.000202:1,000202,1,GB 1,,6,,,
00002.000202:2,000202,2,GB 2,,6,,,
00011.000202:11,000202,11,GB 11,,6,,,
00012.000202:12,000202,12,GB 12,,6,,,
00101.000202:101,000202,101,GB 101,,6,,,
00102.000202:102,000202,102,GB 102,,6,,,
00111.000202:111,000202,111,GB 111,,6,,,
00112.000202:112,000202,112,GB 112,,6,,,
00201.000202:201,000202,201,GB 201,,6,,,
00202.000202:202,000202,202,GB 202,,6,,,
00001.000203:1,000203,1,LB 1,,6,,,
00002.000203:2,000203,2,LB 2,,6,,,
00003.000203:3,000203,3,LB 3,,6,,,
00004.000203:4,000203,4,LB 4,,6,,,
00005.000203:5,000203,5,LB 5,,6,,,
01001.000203:1001,000203,1001,LB 1001,,6,,,
02001.000203:2001,000203,2001,LB 2001,,6,,,
03001.000203:3001,000203,3001,LB 3001,,6,,,
04001.000203:4001,000203,4001,LB 4001,,6,,,
05001.000203:5001,000203,5001,LB 5001,,6,,,
01001.000205:1001,000205,1001,LB 1001,,6,,,
01002.000205:1002,000205,1002,LB 1002,,6,,,
01003.000205:1003,000205,1003,LB 1003,,6,,,
01004.000205:1004,000205,1004,LB 1004,,6,,,
01005.000205:1005,000205,1005,LB 1005,,6,,,
01006.000205:1006,000205,1006,LB 1006,,6,,,
01009.000205:1009,000205,1009,LB 1009,,6,,,
01010.000205:1010,000205,1010,LB 1010,,6,,,
01011.000205:1011,000205,1011,GB 1011,,6,,,
01012.000205:1012,000205,1012,GB 1012,,6,,,
01013.000205:1013,000205,1013,GB 1013,,6,,,
01014.000205:1014,000205,1014,GB 1014,,6,,,
01015.000205:1015,000205,1015,GB 1015,,6,,,
