trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,attributes_ch
110,08:45:00,08:45:00,8509085,0,,0,0,,
110,08:48:00,08:48:00,8509087,1,,0,0,,
111,16:30:00,16:30:00,8509085,0,,0,0,,
111,16:33:00,16:33:00,8509087,1,,0,0,,
112,16:15:00,16:15:00,8509085,0,,0,0,,
112,16:18:00,16:18:00,8509087,1,,0,0,,
113,08:45:00,08:45:00,8509087,0,,0,0,,
113,08:48:00,08:48:00,8509085,1,,0,0,,
114,16:30:00,16:30:00,8509087,0,,0,0,,
114,16:33:00,16:33:00,8509085,1,,0,0,,
115,16:15:00,16:15:00,8509087,0,,0,0,,
115,16:18:00,16:18:00,8509085,1,,0,0,,
116,08:45:00,08:45:00,8530535,0,,0,0,,
116,08:50:00,08:50:00,8509085,1,,0,0,,
117,16:30:00,16:30:00,8530535,0,,0,0,,
117,16:35:00,16:35:00,8509085,1,,0,0,,
118,08:45:00,08:45:00,8509085,0,,0,0,,
118,08:50:00,08:50:00,8530535,1,,0,0,,
119,16:30:00,16:30:00,8509085,0,,0,0,,
119,16:35:00,16:35:00,8530535,1,,0,0,,
10832,08:00:00,08:00:00,8530484,0,,0,0,,
10832,08:07:00,08:07:00,8530485,1,,0,0,,
10833,08:15:00,08:15:00,8530484,0,,0,0,,
10833,08:22:00,08:22:00,8530485,1,,0,0,,
10834,18:30:00,18:30:00,8530484,0,,0,0,,
10834,18:37:00,18:37:00,8530485,1,,0,0,,
10835,08:00:00,08:00:00,8530485,0,,0,0,,
10835,08:07:00,08:07:00,8530484,1,,0,0,,
10836,08:15:00,08:15:00,8530485,0,,0,0,,
10836,08:22:00,08:22:00,8530484,1,,0,0,,
10837,18:30:00,18:30:00,8530485,0,,0,0,,
10837,18:37:00,18:37:00,8530484,1,,0,0,,
10838,08:30:00,08:30:00,8530484,0,,0,0,,
10838,08:37:00,08:37:00,8530485,1,,0,0,,
10839,13:30:00,13:30:00,8530484,0,,0,0,,
10839,13:37:00,13:37:00,8530485,1,,0,0,,
10840,08:30:00,08:30:00,8530485,0,,0,0,,
10840,08:37:00,08:37:00,8530484,1,,0,0,,
10841,13:30:00,13:30:00,8530485,0,,0,0,,
10841,13:37:00,13:37:00,8530484,1,,0,0,,
10842,08:30:00,08:30:00,8530484,0,,0,0,,
10842,08:37:00,08:37:00,8530485,1,,0,0,,
10843,13:30:00,13:30:00,8530484,0,,0,0,,
10843,13:37:00,13:37:00,8530485,1,,0,0,,
10844,08:30:00,08:30:00,8530485,0,,0,0,,
10844,08:37:00,08:37:00,8530484,1,,0,0,,
10845,13:30:00,13:30:00,8530485,0,,0,0,,
10845,13:37:00,13:37:00,8530484,1,,0,0,,
10856,08:13:00,08:13:00,8506251,0,,0,0,,
10856,08:21:00,08:21:00,8506274,1,,0,0,,
10857,16:00:00,16:00:00,8506251,0,,0,0,,
10857,16:08:00,16:08:00,8506274,1,,0,0,,
10858,08:13:00,08:13:00,8506274,0,,0,0,,
10858,08:21:00,08:21:00,8506251,1,,0,0,,
10859,16:00:00,16:00:00,8506274,0,,0,0,,
10859,16:08:00,16:08:00,8506251,1,,0,0,,
10860,16:45:00,16:45:00,8506274,0,,0,0,,
10860,16:53:00,16:53:00,8506251,1,,0,0,,
10861,08:43:00,08:43:00,8506251,0,,0,0,,
10861,08:51:00,08:51:00,8506274,1,,0,0,,
10862,08:43:00,08:43:00,8506274,0,,0,0,,
10862,08:51:00,08:51:00,8506251,1,,0,0,,
10863,17:15:00,17:15:00,8506274,0,,0,0,,
10863,17:23:00,17:23:00,8506251,1,,0,0,,
10864:1,08:30:00,08:30:00,8508501,0,,0,0,,
10864:1,08:40:00,08:40:00,8508366,1,,0,0,,
10864:1,08:45:00,08:45:00,8508494,2,,0,0,,
10864:2,08:30:00,08:30:00,8508501,0,,0,0,,
10864:2,08:40:00,08:40:00,8508366,1,,0,0,,
10869:1,08:30:00,08:30:00,8508494,0,,0,0,,
10869:1,08:40:00,08:40:00,8508366,1,,0,0,,
10869:1,08:45:00,08:45:00,8508501,2,,0,0,,
10869:2,08:40:00,08:40:00,8508366,0,,0,0,,
10869:2,08:45:00,08:45:00,8508501,1,,0,0,,
10870,08:50:00,08:50:00,8508494,0,,0,0,,
10870,08:54:00,08:54:00,8508493,1,,0,0,,
10871,09:10:00,09:10:00,8508493,0,,0,0,,
10871,09:14:00,09:14:00,8508494,1,,0,0,,
10872,09:00:00,09:00:00,8530371,0,,0,0,,
10872,09:10:00,09:10:00,8530372,1,,0,0,,
10873,09:00:00,09:00:00,8530372,0,,0,0,,
10873,09:10:00,09:10:00,8530371,1,,0,0,,
10874,13:00:00,13:00:00,8530371,0,,0,0,,
10874,13:10:00,13:10:00,8530372,1,,0,0,,
10875,13:00:00,13:00:00,8530372,0,,0,0,,
10875,13:10:00,13:10:00,8530371,1,,0,0,,
10876,09:30:00,09:30:00,8530373,0,,0,0,,
10876,09:40:00,09:40:00,8530372,1,,0,0,,
10877,09:15:00,09:15:00,8530372,0,,0,0,,
10877,09:25:00,09:25:00,8530373,1,,0,0,,
10878,13:00:00,13:00:00,8530372,0,,0,0,,
10878,13:10:00,13:10:00,8530373,1,,0,0,,
10879,13:00:00,13:00:00,8530373,0,,0,0,,
10879,13:10:00,13:10:00,8530372,1,,0,0,,
11794,08:30:00,08:30:00,8508453,0,,0,0,,
11794,09:00:00,09:00:00,8508455,1,,0,0,,
11795,09:00:00,09:00:00,8508455,0,,0,0,,
11795,09:30:00,09:30:00,8508453,1,,0,0,,
11796,08:30:00,08:30:00,8508453,0,,0,0,,
11796,09:00:00,09:00:00,8508455,1,,0,0,,
11797,09:00:00,09:00:00,8508455,0,,0,0,,
11797,09:30:00,09:30:00,8508453,1,,0,0,,
11798,09:00:00,09:00:00,8508455,0,,0,0,,
11798,09:06:00,09:06:00,8508456,1,,0,0,,
11799,09:00:00,09:00:00,8508456,0,,0,0,,
11799,09:06:00,09:06:00,8508455,1,,0,0,,
11800,09:00:00,09:00:00,8508455,0,,0,0,,
11800,09:06:00,09:06:00,8508456,1,,0,0,,
11801,09:00:00,09:00:00,8508456,0,,0,0,,
11801,09:06:00,09:06:00,8508455,1,,0,0,,
11871,06:45:00,06:45:00,8530388,0,,0,0,,
11871,06:55:00,06:55:00,8530687,1,,0,0,,
11872,06:30:00,06:30:00,8530687,0,,0,0,,
11872,06:40:00,06:40:00,8530388,1,,0,0,,
11873,08:10:00,08:10:00,8530388,0,,0,0,,
11873,08:20:00,08:20:00,8530687,1,,0,0,,
11874,07:05:00,07:05:00,8530687,0,,0,0,,
11874,07:15:00,07:15:00,8530388,1,,0,0,,
11875,23:05:00,23:05:00,8530388,0,,0,0,,
11875,23:15:00,23:15:00,8530687,1,,0,0,,
11876,08:10:00,08:10:00,8530687,0,,0,0,,
11876,08:20:00,08:20:00,8530388,1,,0,0,,
11877,19:25:00,19:25:00,8530687,0,,0,0,,
11877,19:35:00,19:35:00,8530388,1,,0,0,,
11878,08:40:00,08:40:00,8530687,0,,0,0,,
11878,08:50:00,08:50:00,8530388,1,,0,0,,
11879,23:20:00,23:20:00,8530687,0,,0,0,,
11879,23:30:00,23:30:00,8530388,1,,0,0,,
19977,07:50:00,07:50:00,8530685,0,,0,0,,
19977,08:00:00,08:00:00,8509383,1,,0,0,,
19978,13:00:00,13:00:00,8530685,0,,0,0,,
19978,13:10:00,13:10:00,8509383,1,,0,0,,
19979,16:45:00,16:45:00,8530685,0,,0,0,,
19979,16:55:00,16:55:00,8509383,1,,0,0,,
19980,17:00:00,17:00:00,8530685,0,,0,0,,
19980,17:10:00,17:10:00,8509383,1,,0,0,,
19981,08:00:00,08:00:00,8509383,0,,0,0,,
19981,08:10:00,08:10:00,8530685,1,,0,0,,
19982,13:00:00,13:00:00,8509383,0,,0,0,,
19982,13:10:00,13:10:00,8530685,1,,0,0,,
19983,17:15:00,17:15:00,8509383,0,,0,0,,
19983,17:25:00,17:25:00,8530685,1,,0,0,,
19984,17:30:00,17:30:00,8509383,0,,0,0,,
19984,17:40:00,17:40:00,8530685,1,,0,0,,
19985,08:30:00,08:30:00,8530685,0,,0,0,,
19985,08:40:00,08:40:00,8509383,1,,0,0,,
19987,08:45:00,08:45:00,8509383,0,,0,0,,
19987,08:55:00,08:55:00,8530685,1,,0,0,,
90916,08:30:00,08:30:00,8507350,0,,0,0,,
90916,08:55:00,08:55:00,8507354,1,,0,0,,
90917,08:30:00,08:30:00,8507354,0,,0,0,,
90917,08:55:00,08:55:00,8507350,1,,0,0,,
90918,08:00:00,08:00:00,8507350,0,,0,0,,
90918,08:25:00,08:25:00,8507354,1,,0,0,,
90919,08:00:00,08:00:00,8507354,0,,0,0,,
90919,08:25:00,08:25:00,8507350,1,,0,0,,
90920,08:00:00,08:00:00,8507350,0,,0,0,,
90920,08:25:00,08:25:00,8507354,1,,0,0,,
90921,08:00:00,08:00:00,8507354,0,,0,0,,
90921,08:25:00,08:25:00,8507350,1,,0,0,,
90922,08:00:00,08:00:00,8507350,0,,0,0,,
90922,08:25:00,08:25:00,8507354,1,,0,0,,
90923,08:00:00,08:00:00,8507354,0,,0,0,,
90923,08:25:00,08:25:00,8507350,1,,0,0,,
90924,08:30:00,08:30:00,8507350,0,,0,0,,
90924,08:55:00,08:55:00,8507354,1,,0,0,,
90925,08:30:00,08:30:00,8507354,0,,0,0,,
90925,08:55:00,08:55:00,8507350,1,,0,0,,
90926,08:30:00,08:30:00,8507350,0,,0,0,,
90926,08:55:00,08:55:00,8507354,1,,0,0,,
90927,08:30:00,08:30:00,8507354,0,,0,0,,
90927,08:55:00,08:55:00,8507350,1,,0,0,,
90928,10:00:00,10:00:00,8507350,0,,0,0,,
90928,10:25:00,10:25:00,8507354,1,,0,0,,
90929,10:00:00,10:00:00,8507354,0,,0,0,,
90929,10:25:00,10:25:00,8507350,1,,0,0,,
90930,08:30:00,08:30:00,8530671,0,,0,0,,
90930,08:40:00,08:40:00,8500252,1,,0,0,,
90931,08:30:00,08:30:00,8500252,0,,0,0,,
90931,08:40:00,08:40:00,8530671,1,,0,0,,
90932,08:30:00,08:30:00,8530671,0,,0,0,,
90932,08:40:00,08:40:00,8500252,1,,0,0,,
90933,08:30:00,08:30:00,8500252,0,,0,0,,
90933,08:40:00,08:40:00,8530671,1,,0,0,,
90934,08:30:00,08:30:00,8530671,0,,0,0,,
90934,08:40:00,08:40:00,8500252,1,,0,0,,
90935,08:30:00,08:30:00,8500252,0,,0,0,,
90935,08:40:00,08:40:00,8530671,1,,0,0,,
90936,08:30:00,08:30:00,8530671,0,,0,0,,
90936,08:40:00,08:40:00,8500252,1,,0,0,,
90937,08:30:00,08:30:00,8500252,0,,0,0,,
90937,08:40:00,08:40:00,8530671,1,,0,0,,
90938,08:30:00,08:30:00,8530671,0,,0,0,,
90938,08:40:00,08:40:00,8500252,1,,0,0,,
90939,08:30:00,08:30:00,8500252,0,,0,0,,
90939,08:40:00,08:40:00,8530671,1,,0,0,,
90940,08:20:00,08:20:00,8508502,0,,0,0,,
90940,08:26:00,08:26:00,8508368,1,,0,0,,
90941,07:30:00,07:30:00,8508502,0,,0,0,,
90941,07:36:00,07:36:00,8508368,1,,0,0,,
90942,08:00:00,08:00:00,8508502,0,,0,0,,
90942,08:06:00,08:06:00,8508368,1,,0,0,,
