stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_elevation,zone_id,stop_url,location_type,parent_station,platform_code,ch_station_long_name,ch_station_synonym1,ch_station_synonym2,ch_station_synonym3,ch_station_synonym4
8530004,,La Robella,,46.875983,6.548731,1222,,,0,,,,,,,
8530005,,Buttes TBR,,46.886187,6.551344,770,,,0,,,,,,,
8530014,,Schwarzsee / Lac-Noir GRK,,46.669266,7.288322,1044,,,0,,,,,,,
8530017,,Riggisalp,,46.658919,7.293655,1494,,,0,,,,,,,
8530021,,Charmey (Gruyère) (télécabine),,46.618696,7.168968,874,,,0,,,,,,,
8530022,,Vounetse,,46.626022,7.207136,1610,,,0,,,,,,,
8530032,,Rougemont BDGAG,,46.485702,7.208494,971,,,0,,,,,,,
8530038,,Les Diablerets TDI,,46.350074,7.160317,1192,,,0,,,,,,,
8530039,,Col-du-Pillon,,46.354143,7.205312,1555,,,0,,,,,,,
8530040,,La Barboleuse TVG,,46.283746,7.076852,1219,,,0,,,,,,,
8530041,,Les Chaux TVG,,46.295085,7.104614,1774,,,0,,,,,,,
8530042,,Villars TVG,,46.303653,7.054965,1252,,,0,,,,,,,
8530043,,Roc-d'Orsay,,46.322088,7.063911,1952,,,0,,,,,,,
8530054,,Plan-du-Croix TPCT,,46.305601,6.851095,1348,,,0,,,,,,,
8530055,,Tête-du-Tronchey,,46.292246,6.853615,1898,,,0,,,,,,,
8530056,,Plan-du-Croix TPCJ,,46.305533,6.850123,1336,,,0,,,,,,,
8530057,,La Jorette TPCJ,,46.304197,6.857873,1633,,,0,,,,,,,
8530070,,Morgins TMLF,,46.236756,6.858141,1269,,,0,,,,,,,
8530071,,La Foilleuse TMLF,,46.225068,6.861234,1819,,,0,,,,,,,
8530078,,Les Crosets TPS,,46.183878,6.834033,1676,,,0,,,,,,,
8530079,,Pointe-des-Mossettes TPS,,46.192081,6.815626,2252,,,0,,,,,,,
8530084,,Dorénaz TDCh,,46.150393,7.044333,454,,,0,,,,,,,
8530085,,Champex-d'Alesse,,46.148195,7.059208,1127,,,0,,,,,,,
8530087,,Champex (télésiège),,46.031456,7.106592,1485,,,0,,,,,,,
8530088,,La Breya,,46.021677,7.103217,2184,,,0,,,,,,,
8530093,,Bruson (télésiège),,46.063238,7.215955,1060,,,0,,,,,,,
8530094,,La Côt TBLC,,46.062421,7.199457,1549,,,0,,,,,,,
8530095,,Verbier TV,,46.093622,7.233674,1526,,,0,,,,,,,
8530096,,Croix-des-Ruinettes,,46.091236,7.252883,2192,,,0,,,,,,,
8530097,,Les Attelas,,46.099572,7.268371,2725,,,0,,,,,,,
8530098,,Mont-Gelé,,46.096466,7.278816,2994,,,0,,,,,,,
8530099,,Tortin TV,,46.113438,7.304208,2064,,,0,,,,,,,
