from_stop_id,to_stop_id,transfer_type,min_transfer_time
8501954,8530803,2,600
8501954,8530802,2,600
8501953,8530824,2,600
8501698,8530808,2,600
8501659,8530192,2,600
8530841,8530493,2,480
8530824,8501953,2,600
8530819,8530401,2,480
8530808,8501698,2,600
8530803,8501954,2,600
8530802,8501954,2,600
8530688,8530240,2,300
8530587,8509680,2,600
8530494,8530493,2,480
8530493,8530841,2,480
8530493,8530494,2,480
8530401,8530819,2,480
8530393,8530391,2,720
8530391,8530393,2,720
8530371,8508366,2,900
8530364,8508357,2,1200
8530252,8530251,2,480
8530251,8530252,2,480
8530240,8530688,2,300
8530198,8530197,2,120
8530197,8530198,2,120
8530192,8501659,2,600
8530164,8530161,2,180
8530161,8530164,2,180
8530136,8530134,2,600
8530134,8530136,2,600
8530115,8530099,2,180
8530099,8530115,2,180
8530056,8530054,2,120
8530054,8530056,2,120
8509680,8530587,2,600
8508366,8530371,2,900
8508357,8530364,2,1200
8507371,8507357,2,300
8507357,8507371,2,300
8500089,8500089,3,
8500252,8500252,3,
8501336,8501336,3,
8501339,8501339,3,
8501354,8501354,3,
8501358,8501358,3,
8501373,8501373,3,
8501442,8501442,3,
8501444,8501444,3,
8501450,8501450,3,
8501486,8501486,3,
8501555,8501555,3,
8501556,8501556,3,
8501583,8501583,3,
8501657,8501657,3,
8501695,8501695,3,
8501719,8501719,3,
8503081,8503081,3,
8503265,8503265,3,
8504748,8504748,3,
8505078,8505078,3,
8505088,8505088,3,
8505190,8505190,3,
8505595,8505595,3,
8505598,8505598,3,
8506259,8506259,3,
8506262,8506262,3,
8506265,8506265,3,
8506274,8506274,3,
8507194,8507194,3,
8507195,8507195,3,
8507260,8507260,3,
8507261,8507261,3,
8507354,8507354,3,
8507452,8507452,3,
8507454,8507454,3,
8507456,8507456,3,
8507457,8507457,3,
8507593,8507593,3,
8508368,8508368,3,
8508495,8508495,3,
8508496,8508496,3,
8508497,8508497,3,
8508551,8508551,3,
8509082,8509082,3,
8509087,8509087,3,
8509093,8509093,3,
8509096,8509096,3,
8509099,8509099,3,
8509159,8509159,3,
8509162,8509162,3,
8509274,8509274,3,
8509277,8509277,3,
8509281,8509281,3,
8509372,8509372,3,
8509376,8509376,3,
8509382,8509382,3,
8509683,8509683,3,
8530004,8530004,3,
8530017,8530017,3,
8530022,8530022,3,
8530041,8530041,3,
8530042,8530042,3,
8530043,8530043,3,
8530055,8530055,3,
8530057,8530057,3,
8530071,8530071,3,
8530079,8530079,3,
8530085,8530085,3,
8530088,8530088,3,
8530094,8530094,3,
8530098,8530098,3,
8530100,8530100,3,
8530102,8530102,3,
8530105,8530105,3,
8530109,8530109,3,
8530116,8530116,3,
8530120,8530120,3,
8530125,8530125,3,
8530128,8530128,3,
8530130,8530130,3,
8530137,8530137,3,
8530140,8530140,3,
8530145,8530145,3,
8530147,8530147,3,
8530150,8530150,3,
8530152,8530152,3,
8530173,8530173,3,
8530184,8530184,3,
8530188,8530188,3,
8530193,8530193,3,
8530195,8530195,3,
8530199,8530199,3,
8530210,8530210,3,
8530215,8530215,3,
8530226,8530226,3,
8530228,8530228,3,
8530232,8530232,3,
8530234,8530234,3,
8530236,8530236,3,
8530241,8530241,3,
8530242,8530242,3,
8530244,8530244,3,
8530245,8530245,3,
8530254,8530254,3,
8530270,8530270,3,
8530284,8530284,3,
8530285,8530285,3,
8530290,8530290,3,
8530292,8530292,3,
8530297,8530297,3,
8530299,8530299,3,
8530302,8530302,3,
8530305,8530305,3,
8530311,8530311,3,
8530313,8530313,3,
8530315,8530315,3,
8530321,8530321,3,
8530337,8530337,3,
8530345,8530345,3,
8530347,8530347,3,
8530352,8530352,3,
8530354,8530354,3,
8530365,8530365,3,
8530369,8530369,3,
8530373,8530373,3,
8530375,8530375,3,
8530377,8530377,3,
8530386,8530386,3,
8530392,8530392,3,
8530403,8530403,3,
8530405,8530405,3,
8530408,8530408,3,
8530410,8530410,3,
8530412,8530412,3,
8530413,8530413,3,
8530415,8530415,3,
8530420,8530420,3,
8530423,8530423,3,
8530425,8530425,3,
8530427,8530427,3,
8530435,8530435,3,
8530458,8530458,3,
8530460,8530460,3,
8530465,8530465,3,
8530478,8530478,3,
8530483,8530483,3,
8530485,8530485,3,
8530488,8530488,3,
8530490,8530490,3,
8530492,8530492,3,
8530495,8530495,3,
8530498,8530498,3,
8530506,8530506,3,
8530508,8530508,3,
8530510,8530510,3,
8530514,8530514,3,
8530516,8530516,3,
8530518,8530518,3,
8530520,8530520,3,
8530522,8530522,3,
8530528,8530528,3,
8530532,8530532,3,
8530534,8530534,3,
8530535,8530535,3,
8530541,8530541,3,
8530554,8530554,3,
8530557,8530557,3,
8530559,8530559,3,
8530563,8530563,3,
8530569,8530569,3,
8530572,8530572,3,
8530574,8530574,3,
8530581,8530581,3,
8530583,8530583,3,
8530586,8530586,3,
8530588,8530588,3,
8530591,8530591,3,
8530597,8530597,3,
8530599,8530599,3,
8530606,8530606,3,
8530608,8530608,3,
8530610,8530610,3,
8530690,8530690,3,
8530693,8530693,3,
8530738,8530738,3,
8530741,8530741,3,
8530751,8530751,3,
8530753,8530753,3,
8530757,8530757,3,
8530759,8530759,3,
8530781,8530781,3,
