route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,bikes_allowed,attributes_ch
00201.000109:201,001169,110,Weissfluhgipfel,201,,,,0,
00205.000109:205,001196,111,Weissfluhgipfel,205,,,,0,
00215.000109:215,001196,112,Weissfluhgipfel,215,,,,0,
00251.000109:251,001169,113,Weissfluhjoch DKB,251,,,,0,
00255.000109:255,001196,114,Weissfluhjoch DKB,255,,,,0,
00265.000109:265,001196,115,Weissfluhjoch DKB,265,,,,0,
00301.000109:301,001169,116,Weissfluhjoch DKB,301,,,,0,
00305.000109:305,001196,117,Weissfluhjoch DKB,305,,,,0,
00351.000109:351,001169,118,Parsennhütte,351,,,,0,
00355.000109:355,001196,119,Parsennhütte,355,,,,0,
00001.000113:1,003588,10832,Alp Sellamatt,1,,,,0,
00005.000113:5,001239,10833,Alp Sellamatt,5,,,,0,
00006.000113:6,003588,10834,Alp Sellamatt,6,,,,0,
00051.000113:51,003588,10835,Alt St. Johann (Sellamattbahn),51,,,,0,
00055.000113:55,001239,10836,Alt St. Johann (Sellamattbahn),55,,,,0,
00056.000113:56,003588,10837,Alt St. Johann (Sellamattbahn),56,,,,0,
00105.000113:105,003587,10838,Alp Sellamatt,105,,,,0,
00110.000113:110,003587,10839,Alp Sellamatt,110,,,,0,
00155.000113:155,003587,10840,Alt St. Johann (Sellamattbahn),155,,,,0,
00160.000113:160,003587,10841,Alt St. Johann (Sellamattbahn),160,,,,0,
00205.000113:205,003585,10842,Alp Sellamatt,205,,,,0,
00210.000113:210,003585,10843,Alp Sellamatt,210,,,,0,
00255.000113:255,003585,10844,Alt St. Johann (Sellamattbahn),255,,,,0,
00260.000113:260,003585,10845,Alt St. Johann (Sellamattbahn),260,,,,0,
00605.000113:605,001239,10856,Chäserrugg,605,,,,0,
00607.000113:607,003586,10857,Chäserrugg,607,,,,0,
00655.000113:655,001239,10858,Iltios,655,,,,0,
00657.000113:657,003586,10859,Iltios,657,,,,0,
00660.000113:660,001239,10860,Iltios,660,,,,0,
00805.000113:805,001222,10861,Chäserrugg,805,,,,0,
00855.000113:855,001222,10862,Iltios,855,,,,0,
00860.000113:860,001222,10863,Iltios,860,,,,0,
00001.000114:1,10864:1:1:s,10864:1,Stand,1,,,,0,
00001.000114:1,10864:2:2:s,10864:2,Stand,1,,,,0,
01001.000114:1001,10869:1:1:s,10869:1,Engelberg (Talstation Titlis),1001,,,,0,
01001.000114:1001,10869:2:2:s,10869:2,Engelberg (Talstation Titlis),1001,,,,0,
03001.000114:3001,032682,10870,Kleintitlis,3001,,,,0,
04001.000114:4001,032682,10871,Stand,4001,,,,0,
10001.000114:10001,001222,10872,Jochpass,10001,,,,0,
11001.000114:11001,001222,10873,Trübsee (Jochpass),11001,,,,0,
12001.000114:12001,001222,10874,Jochpass,12001,,,,0,
13001.000114:13001,001222,10875,Trübsee (Jochpass),13001,,,,0,
20001.000114:20001,001222,10876,Jochpass,20001,,,,0,
21001.000114:21001,001222,10877,Engstlensee,21001,,,,0,
22001.000114:22001,001222,10878,Engstlensee,22001,,,,0,
23001.000114:23001,001222,10879,Jochpass,23001,,,,0,
00001.013600:1,004825,11794,Fräkmüntegg,1,,,,0,
00002.013600:2,004825,11795,Kriens PB,2,,,,0,
00003.013600:3,004826,11796,Fräkmüntegg,3,,,,0,
00004.013600:4,004826,11797,Kriens PB,4,,,,0,
01001.013600:1001,004825,11798,Pilatus Kulm,1001,,,,0,
