stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_elevation,zone_id,stop_url,location_type,parent_station,platform_code,ch_station_long_name,ch_station_synonym1,ch_station_synonym2,ch_station_synonym3,ch_station_synonym4
8504012:1,PUI,Puidoux-Chexbres,,46.493833,6.765686,618,,,0,8504012,1,,,,,
132,,Neubaustrecke,,47.196374,7.689360,,,,0,,,Neubaustrecke,,,,
133,,Centovalli,,46.154371,8.603653,,,,0,,,Centovalli,,,,
134,,Furka,,46.538322,8.435913,,,,0,,,Furka,,,,
135,,Lötschberg-Basistunnel,,46.356888,7.773846,,,,0,,,Lötschberg-Basistunnel,,,,
136,,Lötschberg-Bergstrecke,,46.432595,7.720969,,,,0,,,Lötschberg-Bergstrecke,,,,
137,,Rotsee,,47.074530,8.320797,,,,0,,,Rotsee,,,,
138,,Vereina,,46.806658,9.985895,,,,0,,,Vereina,,,,
139,,Damm,,47.217327,8.805061,,,,0,,,Damm,,,,
140,,Gotthard,,46.604329,8.591156,,,,0,,,Gotthard,,,,
141,,Oberalp,,46.652359,8.644440,,,,0,,,Oberalp,,,,
142,,Simplon,,46.276342,8.091198,,,,0,,,Simplon,,,,
8502204:6CD,ZG,Zug,,47.173624,8.515295,425,,,0,8502204,6CD,,,,,
8500221:1,BUER,Büren an der Aare,,47.138150,7.371229,443,,,0,8500221,1,,,,,
8507474:,GO,Goppenstein,,46.367746,7.755018,1217,,,0,8507474,,,,,,
8508312:4,GI,Giswil,,46.836535,8.186309,485,,,0,8508312,4,,,,,
8508312:5,GI,Giswil,,46.836535,8.186309,485,,,0,8508312,5,,,,,
8508312:3,GI,Giswil,,46.836535,8.186309,485,,,0,8508312,3,,,,,
8508312:1,GI,Giswil,,46.836535,8.186309,485,,,0,8508312,1,,,,,
8501008:,GE,Genève,,46.210203,6.142452,391,,,0,8501008,,,Geneva,Genf,Ginevra,
8509000:9,CH,Chur,,46.853080,9.528925,585,,,0,8509000,9,,CH,Coira,Coire,
8509000:8,CH,Chur,,46.853080,9.528925,585,,,0,8509000,8,,CH,Coira,Coire,
8509000:2,CH,Chur,,46.853080,9.528925,585,,,0,8509000,2,,CH,Coira,Coire,
